qtr,deposits,gdp,cryptocurrency,ffr,unrate,irate,m2_gdp,m1_gdp
1,0.84364603,16.019758,0,,8.266666667,0.716145833,0.611126585,0.138158558
2,0.805625621,16.152257,0.001065472,,8.2,0.769589552,0.615703428,0.140046476
3,0.839525837,16.257151,0.002900398,0.143333333,8.033333333,0.758272059,0.622829506,0.144488211
4,0.861788599,16.358863,0.005888562,0.16,7.8,0.758272059,0.632497095,0.148961045
1,0.989398037,16.569591,0.017892009,0.143333333,7.733333333,0.716145833,0.634362872,0.149424328
2,0.969155434,16.637926,0.034095117,0.116666667,7.533333333,0.769589552,0.639366549,0.151815797
3,0.948241897,16.848748,0.042539173,0.083333333,7.233333333,0.758272059,0.640164282,0.151872808
4,0.949319397,17.083137,0.074868854,0.086666667,6.933333333,0.758272059,0.642604458,0.154409579
1,1.164237357,17.104555,0.150292876,0.073333333,6.666666667,0.716145833,0.652132331,0.159413677
2,1.130477818,17.432909,0.166852977,0.093333333,6.2,0.769589552,0.649597074,0.160644446
3,1.109675518,17.721657,0.197517113,0.09,6.066666667,0.758272059,0.647119698,0.159973754
4,1.095003404,17.849912,0.205174309,0.1,5.7,0.758272059,0.650569034,0.162353742
1,1.311663845,18.003399,0.339232492,0.11,5.533333333,0.716145833,0.657549907,0.165755737
2,1.228324866,18.223577,0.349048756,0.123333333,5.433333333,0.769589552,0.656640205,0.164724339
3,1.200432193,18.347425,0.376761717,0.136666667,5.1,0.758272059,0.659840096,0.165498247
4,1.132543576,18.378803,0.404291812,0.16,5.033333333,0.84252451,0.667829129,0.166759137
1,1.353852399,18.470156,0.623119036,0.36,4.9,0.954861111,0.679544883,0.169471588
2,1.351901772,18.656207,0.654626238,0.373333333,4.933333333,1.026119403,0.684404928,0.172964776
3,1.343597009,18.821359,0.678306443,0.396666667,4.9,1.011029412,0.688938916,0.174992677
4,1.281844458,19.03258,0.719413977,0.45,4.766666667,1.095281863,0.691903042,0.175670701
1,1.521506048,19.237435,1.206159971,0.7,4.566666667,1.273148148,0.694763448,0.177877144
2,1.486821109,19.379232,1.266633581,0.95,4.4,1.624689055,0.698488293,0.180327064
3,1.47866045,19.617288,1.33495658,1.153333333,4.3,1.769301471,0.697070529,0.181566042
4,1.396220117,19.937963,1.447576675,1.203333333,4.133333333,1.853553922,0.692757162,0.181429434
1,1.613295335,20.242215,1.998060292,1.446666667,4.033333333,1.989293981,0.687834805,0.180724623
2,1.507580339,20.552653,1.913055681,1.736666667,3.933333333,2.394278607,0.684524767,0.177503443
3,1.454272729,20.742723,1.953804862,1.923333333,3.766666667,2.61182598,0.684474583,0.177479109
4,1.379964992,20.909853,1.879039992,2.22,3.833333333,2.864583333,0.683492769,0.178561753
1,1.579823109,21.115309,2.479832456,2.403333333,3.866666667,2.864583333,0.686284061,0.178428204
2,1.525490262,21.329877,2.561608727,2.396666667,3.666666667,3.078358209,0.688180246,0.177519386
3,1.523016073,21.540325,2.45315674,2.19,3.6,2.780330882,0.693753073,0.17914462
4,1.471733918,21.747394,2.246570355,1.643333333,3.6,2.274816176,0.701083235,0.182288508
1,1.792488304,21.561139,3.372285868,1.26,3.8,1.511863426,0.725034363,0.19056971
2,2.164533242,19.520114,3.239888452,0.06,13.06666667,0.256529851,0.907025099,0.642943649
3,2.272488758,21.170252,3.146931973,0.093333333,8.8,0.252757353,0.87097058,0.801283172
4,2.601492003,21.494731,3.204050464,0.09,6.766666667,0.252757353,0.882070433,0.819377549
